Date,Open,High,Low,Close,Adj Close,Volume
1/1/1985,0.130022,0.138951,0.124442,0.129464,0.101327,6366416000
2/1/1985,0.129464,0.137277,0.110491,0.110491,0.086477,4733388800
3/1/1985,0.110491,0.116071,0.092634,0.098772,0.077305,4615587200
4/1/1985,0.098772,0.102679,0.087612,0.094866,0.074248,2868028800
5/1/1985,0.094866,0.09933,0.075335,0.077567,0.060709,4639129600
6/1/1985,0.075893,0.082589,0.065848,0.080357,0.062893,5811388800
7/1/1985,0.080915,0.081473,0.070871,0.070871,0.055468,2600595200
8/1/1985,0.070871,0.071987,0.064732,0.066964,0.05241,1818745600
9/1/1985,0.066964,0.077009,0.065848,0.070313,0.055031,1797196800
10/1/1985,0.070313,0.085938,0.066964,0.083147,0.065076,3785913600
11/1/1985,0.083147,0.092634,0.083147,0.089844,0.070318,2884672000
12/1/1985,0.089844,0.102121,0.085938,0.098214,0.076869,3571209600
1/1/1986,0.098214,0.110491,0.097098,0.103237,0.0808,6291801600
2/1/1986,0.103237,0.11942,0.102121,0.111607,0.087351,3420860800
3/1/1986,0.111607,0.132254,0.108259,0.126116,0.098707,4264332800
4/1/1986,0.126116,0.146205,0.117188,0.135045,0.105695,4462684800
5/1/1986,0.135045,0.167411,0.132813,0.165179,0.12928,4954051200
6/1/1986,0.165179,0.174665,0.145089,0.160156,0.125348,4063360000
7/1/1986,0.160156,0.168527,0.133929,0.139509,0.109189,5691638400
8/1/1986,0.138951,0.169643,0.136719,0.165179,0.12928,3643516800
9/1/1986,0.165737,0.165737,0.141183,0.149554,0.117051,3578198400
10/1/1986,0.148996,0.157366,0.143973,0.154576,0.120981,2984038400
11/1/1986,0.155134,0.184152,0.151228,0.178571,0.139761,5206163200
12/1/1986,0.178571,0.195871,0.174665,0.180804,0.141509,4762576000
1/1/1987,0.180246,0.25558,0.179129,0.247768,0.193919,8268915200
2/1/1987,0.247768,0.318638,0.230469,0.3125,0.244583,6616176000
3/1/1987,0.313616,0.314732,0.277902,0.287946,0.225365,5959318400
4/1/1987,0.28125,0.357143,0.27846,0.353795,0.276903,6813161600
5/1/1987,0.354911,0.367188,0.323661,0.352679,0.276029,3838956800
6/1/1987,0.354911,0.386161,0.339286,0.361607,0.283448,3497536000
7/1/1987,0.363839,0.399554,0.325893,0.368304,0.288697,3070256000
8/1/1987,0.366071,0.484375,0.357143,0.482143,0.377931,3119300800
9/1/1987,0.488839,0.524554,0.433036,0.504464,0.395938,3075486400
10/1/1987,0.506696,0.533482,0.246652,0.344866,0.270675,6575699200
11/1/1987,0.345982,0.357143,0.272321,0.294643,0.231256,4234238400
12/1/1987,0.299107,0.390625,0.265625,0.375,0.294968,4702264000
1/1/1988,0.381696,0.412946,0.341518,0.370536,0.291457,6221600000
2/1/1988,0.372768,0.390625,0.337054,0.383929,0.301991,3368467200
3/1/1988,0.386161,0.426339,0.345982,0.357143,0.281476,4882102400
4/1/1988,0.354911,0.378348,0.34375,0.366071,0.288512,3297929600
5/1/1988,0.363839,0.385045,0.333705,0.370536,0.292031,2638507200
6/1/1988,0.370536,0.417411,0.368304,0.412946,0.3261,3534731200
7/1/1988,0.415179,0.424107,0.377232,0.396205,0.31288,2186419200
8/1/1988,0.397321,0.408482,0.350446,0.356027,0.281151,2653313600
9/1/1988,0.354911,0.395089,0.337054,0.386161,0.305523,3060321600
10/1/1988,0.383929,0.386161,0.334821,0.344866,0.272851,3563649600
11/1/1988,0.34375,0.354911,0.316964,0.335938,0.265788,2939865600
12/1/1988,0.337054,0.375,0.334821,0.359375,0.285081,2946070400
1/1/1989,0.359375,0.392857,0.323661,0.337054,0.267374,7345833600
2/1/1989,0.337054,0.359375,0.314732,0.323661,0.25675,4886268800
3/1/1989,0.323661,0.325893,0.299107,0.31808,0.253018,3859676800
4/1/1989,0.316964,0.371652,0.302455,0.348214,0.276989,3966424000
5/1/1989,0.34375,0.4375,0.34375,0.426339,0.339134,5253382400
6/1/1989,0.426339,0.448661,0.352679,0.368304,0.293611,3941280000
7/1/1989,0.372768,0.375,0.337054,0.354911,0.282934,3688630400
8/1/1989,0.354911,0.408482,0.350446,0.397321,0.316744,3352305600
9/1/1989,0.397321,0.417411,0.383929,0.397321,0.317495,2020849600
10/1/1989,0.397321,0.449777,0.379464,0.415179,0.331765,4125049600
11/1/1989,0.412946,0.421875,0.379464,0.395089,0.315712,2524939200
12/1/1989,0.397321,0.408482,0.290179,0.314732,0.252119,5941185600
1/1/1990,0.314732,0.345982,0.28683,0.303571,0.243178,3747497600
2/1/1990,0.308036,0.314732,0.287946,0.303571,0.243178,2483891200
3/1/1990,0.299107,0.387277,0.296875,0.359375,0.288808,4556473600
4/1/1990,0.357143,0.395089,0.340402,0.351563,0.28253,3642475200
5/1/1990,0.354911,0.381696,0.345982,0.368304,0.295984,4115630400
6/1/1990,0.36942,0.40067,0.334821,0.399554,0.321988,3952054400
7/1/1990,0.397321,0.426339,0.357143,0.375,0.302201,4163812800
8/1/1990,0.375,0.390625,0.299107,0.330357,0.266224,3128339200
9/1/1990,0.325893,0.334821,0.243304,0.258929,0.209294,2206948800
10/1/1990,0.263393,0.285714,0.216518,0.274554,0.221923,5056116800
11/1/1990,0.272321,0.34375,0.265625,0.328125,0.265225,3254608000
12/1/1990,0.332589,0.404018,0.330357,0.383929,0.311369,4094092800
1/1/1991,0.381696,0.5,0.375,0.495536,0.401883,7037307200
2/1/1991,0.495536,0.555804,0.488839,0.511161,0.414555,5545780800
3/1/1991,0.508929,0.627232,0.508929,0.607143,0.493433,5210598400
4/1/1991,0.607143,0.654018,0.486607,0.491071,0.3991,7243051200
5/1/1991,0.428571,0.479911,0.392857,0.419643,0.34105,7972843200
6/1/1991,0.419643,0.441964,0.359375,0.370536,0.30191,4091662400
7/1/1991,0.377232,0.430804,0.372768,0.412946,0.336466,3783494400
